St,Spy,Spx,Sny,Snx,Et,Epy,Epx,Eny,Enx,Supply Vent Facing Direction,Exhaust Vent Facing Direction,Supply Vent Flow Speed,Exhaust Vent Flow Speed,x Distance Between Vents,y Distance Between Vents,Vertical Distance Between Vents,Wind Speed,Fire Size,Wind Angle,Vis,EC,Recirculation
0,0,0,1,0,0,1,0,0,0,Ny,Py,8.9,-9.7,3,7,-2.5,-1,9.3,249.4651836,11.81604033,0.255313008,1
0,1,0,0,0,0,1,0,0,0,Py,Py,7.3,-8.4,5,7,-4.5,-3.5,9.6,245.2502625,19.77366748,0.158965043,1
1,0,0,0,0,0,0,1,0,0,Top,Px,-0.2,-6.6,0.5,6.5,2.5,-1.6,7.9,263.7171843,30,3.32698E-15,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,4.1,-6.8,7,6,3,-3.5,13.8,209.0306838,29.99861508,0.022656702,0
0,0,0,1,0,0,0,1,0,0,Ny,Px,5.3,-9.4,1.5,6,-0.5,-2.8,2.9,263.5516631,30,0.003789592,0
0,0,0,0,1,0,0,1,0,0,Nx,Px,8,-4.1,6,7.5,-2.5,-1.1,9.9,235.280903,30,0.000920065,0
0,1,0,0,0,0,1,0,0,0,Py,Py,5.5,-5.4,4.5,7,3.5,-3,7.9,239.4050081,26.05367764,0.110707941,1
0,1,0,0,0,0,0,1,0,0,Py,Px,6.9,-5.4,5,6.5,0.5,-3.3,1.3,229.1236994,29.99459256,0.043107194,0
0,0,1,0,0,0,0,0,0,1,Px,Nx,9.4,-5.2,0,7,0,-1.8,1.1,261.3968522,30,0.0023641,0
0,1,0,0,0,0,0,0,0,1,Py,Nx,6.1,-4.1,7,5.5,-3.5,-1.5,8.3,220.6337813,2.838954204,1.123093085,1
0,1,0,0,0,0,0,0,1,0,Py,Ny,6.5,-4.5,4.5,5,1,-3.3,1.4,235.9387509,30,0.001571008,0
0,1,0,0,0,0,0,0,1,0,Py,Ny,8.4,-8.3,1,6.5,3,-1.5,12.9,271.6885802,12.63633167,0.604253207,1
0,0,0,1,0,0,1,0,0,0,Ny,Py,8.1,-9.3,5,7,-0.5,-1.4,15,228.6361868,30,0.02051903,0
0,0,1,0,0,0,1,0,0,0,Px,Py,9.3,-6.5,1.5,6.5,2.5,-1.2,10.5,264.1050645,30,0.001740123,0
0,0,0,1,0,0,0,0,0,1,Ny,Nx,9.9,-7.7,3.5,7,-1.5,-1.1,12.4,230.7272817,30,0.015214821,0
0,0,1,0,0,0,1,0,0,0,Px,Py,7.2,-6.5,0.5,7,1,-1.3,6.7,279.2560907,30,2.0774E-16,0
0,0,0,0,1,0,0,0,1,0,Nx,Ny,5.9,-4.4,0.5,6.5,-3,-2.7,11.8,264.4507563,1.955256124,1.589444234,1
